date;open;high;low;close;DOLLAR;volume
2014-08-01;2.2585999965667725;2.280400037765503;2.2416999340057373;2.2602999210357666;2.2602999210357666;0
2014-08-04;2.2358999252319336;2.259999990463257;2.2358999252319336;2.2523000240325928;2.2523000240325928;0
2014-08-05;2.2558000087738037;2.276599884033203;2.2544000148773193;2.253999948501587;2.253999948501587;0
2014-08-06;2.2783000469207764;2.2927000522613525;2.26200008392334;2.2762999534606934;2.2762999534606934;0
2014-08-07;2.2555999755859375;2.2867000102996826;2.2551000118255615;2.270699977874756;2.270699977874756;0
2014-08-08;2.2920000553131104;2.3041000366210938;2.276700019836426;2.294100046157837;2.294100046157837;0
2014-08-11;2.2790000438690186;2.2848000526428223;2.262399911880493;2.2790000438690186;2.2790000438690186;0
2014-08-12;2.2704999446868896;2.2815001010894775;2.2564001083374023;2.27239990234375;2.27239990234375;0
2014-08-13;2.273200035095215;2.2832999229431152;2.2572999000549316;2.274899959564209;2.274899959564209;0
2014-08-14;2.2764999866485596;2.2809998989105225;2.2618000507354736;2.2785000801086426;2.2785000801086426;0
2014-08-15;2.2639999389648438;2.272900104522705;2.247999906539917;2.2639000415802;2.2639000415802;0
2014-08-18;2.256700038909912;2.2614998817443848;2.241300106048584;2.2455999851226807;2.2455999851226807;0
2014-08-19;2.254699945449829;2.261699914932251;2.2393999099731445;2.255199909210205;2.255199909210205;0
2014-08-20;2.2416999340057373;2.2546000480651855;2.2274999618530273;2.243499994277954;2.243499994277954;0
2014-08-21;2.2572999000549316;2.259999990463257;2.2432000637054443;2.2572999000549316;2.2572999000549316;0
2014-08-22;2.2646000385284424;2.279400110244751;2.2509000301361084;2.2667999267578125;2.2667999267578125;0
2014-08-25;2.262500047683716;2.2811999320983887;2.2583000659942627;2.272900104522705;2.272900104522705;0
2014-08-26;2.2809998989105225;2.2850000858306885;2.2667999267578125;2.282900094985962;2.282900094985962;0
2014-08-27;2.258699893951416;2.261399984359741;2.2425999641418457;2.2585999965667725;2.2585999965667725;0
2014-08-28;2.2432000637054443;2.2535998821258545;2.2390999794006348;2.2435998916625977;2.2435998916625977;0
2014-08-29;2.234999895095825;2.24180006980896;2.2214999198913574;2.2372000217437744;2.2372000217437744;0
2014-09-01;2.231600046157837;2.2370998859405518;2.2167999744415283;2.231600046157837;2.231600046157837;0
2014-09-02;2.2411999702453613;2.2530999183654785;2.227799892425537;2.2430999279022217;2.2430999279022217;0
2014-09-03;2.2397000789642334;2.240299940109253;2.22379994392395;2.239799976348877;2.239799976348877;0
2014-09-04;2.2320001125335693;2.24180006980896;2.2219998836517334;2.2339999675750732;2.2339999675750732;0
